MsgID.STATE,0.0000000,False,False,1
MsgID.LOCAL_VELOCITY,100.8120000,0.0000002,0.0000433,0.0000245
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3990949,37.7929578,0.0240000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,101.0630000,53.0402489,-145.9265442,-0.0240953
MsgID.LOCAL_VELOCITY,101.0630000,-0.0000073,0.0000761,0.0000089
MsgID.GLOBAL_POSITION,0.0000000,-122.3990952,37.7929590,-0.0140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,101.3130000,53.1807098,-145.9474182,0.0141200
MsgID.LOCAL_VELOCITY,101.3130000,0.0000741,0.0001015,0.0000036
MsgID.GLOBAL_POSITION,0.0000000,-122.3990954,37.7929599,-0.0410000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,101.5630000,53.2775116,-145.9640961,0.0414186
MsgID.LOCAL_VELOCITY,101.5630000,0.0000036,0.0000234,0.0000183
MsgID.LOCAL_POSITION,101.8130000,53.1207924,-146.0950928,0.0586045
MsgID.LOCAL_VELOCITY,101.8130000,0.0000011,0.0000271,0.0000142
MsgID.GLOBAL_POSITION,0.0000000,-122.3990968,37.7929585,-0.0580000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,102.0630000,53.1229134,-146.0912628,0.0684921
MsgID.LOCAL_VELOCITY,102.0630000,-0.0000083,-0.0000001,0.0000012
MsgID.GLOBAL_POSITION,0.0000000,-122.3990968,37.7929585,-0.0680000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,102.3130000,53.1927681,-145.9106445,0.0738881
MsgID.LOCAL_VELOCITY,102.3130000,-0.0000001,0.0000083,0.0000066
MsgID.GLOBAL_POSITION,0.0000000,-122.3990948,37.7929592,-0.0730000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,102.5630000,53.2974739,-145.9109650,0.0768490
MsgID.LOCAL_VELOCITY,102.5630000,-0.0000096,-0.0000067,0.0000173
MsgID.GLOBAL_POSITION,0.0000000,-122.3990948,37.7929601,-0.0760000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,102.8130000,53.3181038,-146.0910645,0.0785690
MsgID.LOCAL_VELOCITY,102.8130000,0.0000069,0.0000076,-0.0000041
MsgID.GLOBAL_POSITION,0.0000000,-122.3990968,37.7929603,-0.0780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,103.0640000,53.0938492,-145.9901886,0.0793476
MsgID.LOCAL_VELOCITY,103.0640000,0.0000002,0.0000075,0.0000106
MsgID.GLOBAL_POSITION,0.0000000,-122.3990956,37.7929583,-0.0790000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,103.3150000,53.0726662,-145.8329773,0.0785057
MsgID.LOCAL_VELOCITY,103.3150000,-0.0000018,0.0000052,0.0000071
MsgID.GLOBAL_POSITION,0.0000000,-122.3990939,37.7929581,-0.0780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,103.5650000,53.2776299,-145.8644867,0.0742375
MsgID.LOCAL_VELOCITY,103.5650000,0.0000042,0.0000137,0.0000012
MsgID.GLOBAL_POSITION,0.0000000,-122.3990942,37.7929599,-0.0740000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,103.8150000,53.1959000,-146.0746002,0.0637460
MsgID.LOCAL_VELOCITY,103.8150000,-0.0000021,-0.0000016,0.0000053
MsgID.GLOBAL_POSITION,0.0000000,-122.3990966,37.7929592,-0.0630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,104.0650000,53.1501160,-145.8885040,0.0438440
MsgID.LOCAL_VELOCITY,104.0650000,0.0000000,0.0000022,-0.0000003
MsgID.GLOBAL_POSITION,0.0000000,-122.3990945,37.7929588,-0.0430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,104.3150000,53.1089363,-145.7603760,0.0156391
MsgID.LOCAL_VELOCITY,104.3150000,0.0000058,0.0000305,0.0000072
MsgID.GLOBAL_POSITION,0.0000000,-122.3990931,37.7929584,-0.0150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,104.5650000,53.1596603,-145.8731995,-0.0187553
MsgID.LOCAL_VELOCITY,104.5650000,0.0000854,0.0001283,0.0000038
MsgID.GLOBAL_POSITION,0.0000000,-122.3990943,37.7929589,0.0180000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,104.8150000,53.1543465,-145.8853912,-0.0528207
MsgID.LOCAL_VELOCITY,104.8150000,-0.0000013,0.0000429,0.0000192
MsgID.GLOBAL_POSITION,0.0000000,-122.3990945,37.7929588,0.0520000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,105.0650000,52.9872780,-145.9409180,-0.0818651
MsgID.LOCAL_VELOCITY,105.0650000,-0.0000104,0.0000425,0.0000180
MsgID.GLOBAL_POSITION,0.0000000,-122.3990951,37.7929573,0.0810000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,105.3150000,52.9969215,-146.1293640,-0.1011331
MsgID.LOCAL_VELOCITY,105.3150000,-0.0000040,0.0000389,0.0000148
MsgID.GLOBAL_POSITION,0.0000000,-122.3990972,37.7929574,0.1010000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3990960,37.7929576,0.1080000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,105.5650000,53.0159111,-146.0215454,-0.1082978
MsgID.LOCAL_VELOCITY,105.5650000,0.0000140,0.0000614,0.0000148
MsgID.GLOBAL_POSITION,0.0000000,-122.3990937,37.7929584,0.1040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,105.8150000,53.1050987,-145.8176422,-0.1045052
MsgID.LOCAL_VELOCITY,105.8150000,-0.0000177,0.0000456,0.0000175
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3990959,37.7929599,0.0940000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,106.0650000,53.2807961,-146.0144043,-0.0940408
MsgID.LOCAL_VELOCITY,106.0650000,0.0000063,0.0000614,0.0000158
MsgID.GLOBAL_POSITION,0.0000000,-122.3990962,37.7929581,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,106.3160000,53.0772018,-146.0414124,-0.0826232
MsgID.LOCAL_VELOCITY,106.3160000,0.0000053,0.0000551,0.0000179
MsgID.GLOBAL_POSITION,0.0000000,-122.3990952,37.7929571,0.0750000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,106.5660000,52.9642868,-145.9475861,-0.0757153
MsgID.LOCAL_VELOCITY,106.5660000,0.0000257,0.0000387,0.0000185
MsgID.GLOBAL_POSITION,0.0000000,-122.3990952,37.7929581,0.0770000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,106.8160000,53.0727196,-145.9494019,-0.0770051
MsgID.LOCAL_VELOCITY,106.8160000,-0.0000044,0.0000729,0.0000136
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3990957,37.7929588,0.0870000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,107.0660000,53.1497345,-145.9951324,-0.0874404
MsgID.LOCAL_VELOCITY,107.0660000,-0.0000064,0.0000427,0.0000114
MsgID.GLOBAL_POSITION,0.0000000,-122.3990957,37.7929580,0.1040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,107.3160000,53.0695763,-145.9926300,-0.1046414
MsgID.LOCAL_VELOCITY,107.3160000,-0.0003083,-0.0000470,0.0000346
MsgID.GLOBAL_POSITION,0.0000000,-122.3990954,37.7929575,0.1230000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,107.5660000,53.0142326,-145.9691467,-0.1239620
MsgID.LOCAL_VELOCITY,107.5660000,-0.0003049,-0.0000506,0.0000389
MsgID.GLOBAL_POSITION,0.0000000,-122.3990969,37.7929590,0.1400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,107.8160000,53.1768990,-146.0995026,-0.1407201
MsgID.LOCAL_VELOCITY,107.8160000,-0.0000025,0.0000509,0.0000149
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3990969,37.7929600,0.1510000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,108.0660000,53.2904892,-146.1033325,-0.1517474
